idx,file,expr,hash,direction,ic_mean,icir,ls_annual,ls_sharpe,calmar,long_excess_annual,monotonicity,oos_ic_mean,oos_icir,oos_ls_sharpe,oos_long_excess_annual,oos_monotonicity
1,0001_add_zscore_std_rank_cs_log_mv_20_add_ran_73760069.parquet,"add(zscore(std(rank_cs(log_mv), 20)), add(rank_cs(log_mv), rank_cs(log_amount)))",73760069c5818c00,-1,0.0705124534320464,0.86626457301501,0.4249618047120906,3.681905265875444,5.61383701173472,0.1855600661736078,1.0,0.085189938104198,0.95132646364537,3.777946918087119,0.194008893264205,0.9636363636363636
2,0002_add_rank_cs_std_rank_cs_log_amount_20_ad_29a0e85c.parquet,"add(rank_cs(std(rank_cs(log_amount), 20)), add(rank_cs(log_mv), roc(rank_cs(log_mv), 60)))",29a0e85cd3e58e42,-1,0.0546646070319243,0.9943340325365776,0.3456611395485316,3.612122915726888,5.202451228715772,0.1723607610788722,1.0,0.0680453972235412,1.2480779441709124,3.8103594686100593,0.167797908345848,0.9757575757575756
3,0003_add_max_skew_ret_120_20_add_roc_rank_cs__3085e3e6.parquet,"add(max(skew(ret, 120), 20), add(roc(rank_cs(log_mv), 60), rank_cs(log_mv)))",3085e3e6693cb265,-1,0.0444991082574269,0.8574326798512591,0.2347086372261215,3.1521951353297677,3.532696838238929,0.1086991338571923,1.0,0.0517592867115562,0.8114435336932684,2.098624402466068,0.0416300282029027,0.9393939393939392
4,0004_add_rank_cs_std_log_amount_20_add_rank_c_4793136c.parquet,"add(rank_cs(std(log_amount, 20)), add(rank_cs(skew(adj_close, 40)), rank_cs(log_mv)))",4793136c6ce4da30,-1,0.053070448644776,0.9069559973418996,0.2825342192521851,3.689808673623193,5.4876242309570165,0.0758060218312381,1.0,0.06291193075397,0.9221583045295018,3.3705067011271623,0.0682902525035045,1.0
5,0005_add_rank_cs_std_rank_cs_log_amount_20_ad_e9cf0113.parquet,"add(rank_cs(std(rank_cs(log_amount), 20)), add(zscore(down_shadow), roc(rank_cs(log_mv), 60)))",e9cf011343d21e46,-1,0.0469905173838634,0.8612903971101231,0.1117567399082415,1.7859638057047906,1.6878956402177872,0.0152455916256382,1.0,0.0528340922027527,0.9236044213840102,1.3505384411726231,-0.0228887918879281,0.6848484848484848
6,0006_ma_zscore_std_zscore_log_amount_5_250_483ff8cb.parquet,"ma(zscore(std(zscore(log_amount), 5)), 250)",483ff8cbe7c387c8,-1,0.0311435336681173,0.6257020770938665,0.1170195244993954,1.9956236014249435,2.134276740328595,0.0560240211704967,0.9878787878787878,0.0394605708209421,0.6066774913118418,1.3768653154557975,0.0325771385717861,0.7939393939393938
7,0007_sub_rank_cs_ma_overnight_10_rank_cs_ma_i_56dc2d9b.parquet,"sub(rank_cs(ma(overnight, 10)), rank_cs(ma(intraday, 10)))",56dc2d9bb5cdb938,1,0.0395020563406604,0.7346336505913236,0.1836908945300746,2.832688481277743,2.339526649911404,0.0137616950641739,0.9636363636363636,0.0441354568813218,0.7957704497667909,1.8569565679339872,0.0339133810629315,0.5757575757575757
8,0008_add_max_rank_cs_log_amount_20_zscore_max_3d6eeaa3.parquet,"add(max(rank_cs(log_amount), 20), zscore(max(delta(log_volume, 40), 20)))",3d6eeaa3807d666b,-1,0.0513866184894867,0.7789482899967873,0.2155686911586847,2.49943697414692,2.4831254617741245,0.0384954391941771,0.9878787878787878,0.0628303269712771,0.9029501444783868,2.0615630818159643,0.0463430431513325,0.9151515151515152
9,0009_add_add_max_zscore_skew_adj_close_40_20__0f5a968c.parquet,"add(add(max(zscore(skew(adj_close, 40)), 20), rank_cs(log_mv)), roc(rank_cs(log_mv), 60))",0f5a968c457f0929,-1,0.0426841906601763,0.8668388804963089,0.2334353531374484,3.2169116580743067,5.340749803614027,0.0795372800090103,1.0,0.0505012573989716,0.9127406278222424,2.9009415144702206,0.091232208549725,0.8909090909090909
10,0010_sub_rank_cs_ma_overnight_10_rank_cs_skew_cde62305.parquet,"sub(rank_cs(ma(overnight, 10)), rank_cs(skew(adj_close, 40)))",cde623055c900aa9,1,0.0324215222349314,0.6619257737222186,0.131162687510016,2.113693149982403,1.3866122921117419,0.018611777267754,1.0,0.0315005553984369,0.57999402792702,1.0759702374102027,-0.0081619744322614,0.9757575757575756
